référence du poste;type de poste;débit nominal (t/h);"combustible (GN : Gaz naturel ; Fioul BTS : Fioul basse teneur en soufre ; Fioul TBTS : Fioul très basse teneur en soufre ; FOL : Fioul lourd ; FOD : Fioul domestique)";date;v éjection gaz (m/s);débit gaz (Nm3/h);T° moyenne (°C);O2 (%);Humidité (%);température enrobés (°C);débit des enrobés (t/h);régime tube et brûleur (%);durée prélèvement (min);[Poussières] à 17% O2 sur Gaz Humide (mg/Nm3);Flux Poussières (kg/h);[SO2] à 17% O2 sur Gaz Humide (mg/Nm3);Flux SO2 (kg/h);[NO2] à 17% O2 sur Gaz Humide (mg/Nm3);Flux NO2 (kg/h);[COVt] à 17% O2 sur Gaz Humide (mg/Nm3);Flux COVt (kg/h);[COVnm] à 17% O2 sur Gaz Humide (mg/Nm3);Flux COVnm (kg/h);Acide chlorhydrique (HCl) (mg/h);Acide fluorhydrique (HF) (mg/h);Ammoniac (NH3) (mg/h);Antimoine (Sb) (mg/h);Aluminium (Al) (mg/h);Arsenic (As) (mg/h) ;Béryllium (Be) (mg/h) ;Cadmium (Cd) (mg/h) ;Chrome(Cr) (mg/h) ;Cobalt (Co) (mg/h) ;Cuivre (Cu) (mg/h) ;Etain (Sn) (mg/h) ;Manganèse (Mn) (mg/h) ;Mercure (Hg) (mg/h) ;Nickel (Ni) (mg/h) ;Plomb (Pb)  (mg/h) ;Sélénium (Se) (mg/h) ;Tellure (Te)  (mg/h) ;Thallium (Tl)  (mg/h) ;Vanadium (V) (mg/h) ;Zinc (Zn) (mg/h) ;Fluoranthène;Benzo-a-anthracène;Benzo-b-Fluoranthène;Benzo-k-Fluoranthène;Benzo-a-pyrène;Dibenzo-a,h-anthracène;Benzo-g,h,i-pérylène;Indeno-1.2.3,c,d-pyrène;Formaldéhyde;Acétaldéhyde;Acroléïne;Furfural;Chloroacétaldéhyde;1,1,2-Trichloroéthane;1,1,2,2-Tétrachloroéthane;1,1-dichloroéthène;1.2-Dicholorobenzène;1,4-dioxane;Benzene (71-43-2);Biphényl;Chloroforme;Chlorométhane;Chlorure de benzyle;Dichlorométhane;Méthacrylate;Méthacrylate de méthyle;Tétrachloroéthylène;Tétrachlorométhane;trichloroéthylène;Pyridine;Diméthylsulfide;Dimethyldisulfide;2-Butanthiol;2-Propantiol;Butylmercaptan;Ethylmercaptan;Méthylmercaptan (Methanethiol);Propylmecaptan;ter-Butyl mercaptan;1,3 Butadiène (H340-H350);Benzène (H340-H350);Dichlorométhane (H351);Tétrahydrofuran (H351);1,2-diethoxyethane (H360);Ethylbromide (H351);1,4-dichlorobenzene (H351);2,4-TDI (2,4-diisocyanate de toluène;Acide acrylique;Acide chloroacétique;Anhydre maléique;Diéthylamine;Ethylamine;Triéthylamine;Diméthylamine;aniline;O-Toluidine;2,3-Diméthylphénol;2,4,5-Trichlorophénol;2,4,6-Trichlorophénol;2,4-Dichlorophénol;Phénol 2-nitro;2,5-Diméthylphénol;2,6-Diméthylphénol;2-Méthylphénol (o-crésol);3-Méthylphénol (m-crésol);2-Nitrotoluène;3,4-Diméthylphénol;3,5-Diméthylphénol;4-Nitrotoluène;3-Nitrotoluène;4-Méthyl-2-nitrophénol;4-Méthylphénol (p-crésol);Phénol;Nitrobenzène;Pyrène;Naphtalène;Phénanthrène;Fluorène;Chrysène;Anthracène;Acénaphtylène;Acénaphtène;2-méthylnaphtalène;H2S;Styrène;Propanal;Pentanal;Pentadécane;Octanal;octaméthyl;N-Pentane;N-Butane;Isobutène;Isobutane;Huile
10B;discontinu;150;FOL;;;35465;96;14.3;15.1;;;;;4;0.2;90.8;5.4;142.9;8.5;1.1;0.1;0.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11B;;240;GN;;;52377;81;13.7;12.5;;;;;0.8;0.1;30.7;2.9;18.8;1.8;;;3.2;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12B;Continu;100;FOL TBTS;;;27200;104;12.1;19;;;;;;;;;;;;;88.9;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13B;Continu;95;FOL;;;20400;108;12.9;15;;;;;;;;;;;;;83.8;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14B;;240;GN;;;50635;80;13.7;12.5;;;;;;;;14.9;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15B-1;Continu;200;GN;;;38600;148;35.6;;;;;;;3.4;;;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15B-2;;120;BTS N°2;;;20202;134.4;12.5;10.1;;;;;1.5;0.1;121.7;5.2;85.8;3.7;;;209.7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15B-3;;110;FOD;;;19524;136.3;13.3;9.7;;;;;2.3;0.1;12.8;0.5;21;0.8;;;212.7;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15B bis-1;;200;FOL TBTS;;;38300;150;15;13.4;;;;;53.8;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15B bis-2;;200;FOL TBTS;;;37023;150;15;12.1;;;;;43.6;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15B bis-3;;200;FOL TBTS;;;36382;150;14;11.9;;;;;59.5;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C16;;200;FOL;;;33838;;8.1;27.3;;;;;2.5;0.4;;;;;26.7;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C17;;200;FOL;;;;;13.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C18;;253;FOL;;;36516;130;9.6;19;;;;;;;;;90.1;9.4;;;47.2;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C19;;200;FOL N°2;;;31215;;12.7;12.8;;;;;1.3;0.1;;;;;;;49.3;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C20;;180;GN;;;37590;;12.6;10.1;;;;;6.5;0.4;2.4;0.2;13.3;0.8;;;572.5;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C21;;180;GN;;;26010;;13;13.8;;;;;9.8;0.5;1.3;0.1;23;1.2;;;17.4;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C22;;180;GN;;;54500;;14.5;12;;;;;11.4;1;6.8;0.6;22.2;2;;;19.1;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B16;;200;FOL TBTS;;;38300;;15;13.4;;;;;53.8;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B16;;200;FOL TBTS;;;37023;;15;12.1;;;;;43.6;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B16;;200;FOL TBTS;;;36382;;14;11.9;;;;;59.5;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B17;Continu;130;;;;30872;70;16;1.8;;;;;8.3;0.3;0.4;0;17.6;0.7;103.1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B18;Continu;130;BTS;;;39700;98;14.4;16.1;;;;;14.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B19;Continu;;BTS;;;32070;102.6;17.2;1.4;;;;;154;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B20;Continu;120;BTS;;;21200;105;13.4;13.7;;;;;13.9;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
