NAME:;Puylaurens;-;France;;;;;;;;;;;;;;;;;;;;;
ELEV:;320;mètres;LAT:;43-33.94;N;LONG:;002-01.84;E;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
DAY;T_MEAN;T_HIGH;TIME;T_LOW;TIME;HEAT_DEG_DAYS;COOL_DEG_DAYS;RAIN;AVG_WIND_SPEED;HIGH;TIME;DOM_DIR;Temp_Max;Temp_Moy ;Temp_Min;Humidite_Max [%];Humidite_Moy [%];Humidite_Min [%];V_vents_Max [km/h];V_vents_Moy  [km/h];V_vents_Min  [km/h];Pression_Max [hPa];Pression_Min [hPa];Precipitation [mm]
01/03/21;;;;;;;;;;;;;;;;;;;;;;;;
02/03/21;;;;;;;;;;;;;;;;;;;;;;;;
03/03/21;;;;;;;;;;;;;;;;;;;;;;;;
04/03/21;;;;;;;;;;;;;;;;;;;;;;;;
05/03/21;;;;;;;;;;;;;;;;;;;;;;;;
06/03/21;8.6;12;12:40;5.1;06:35;9.8;0;0;1;11.2;13:10;335;;;;;;;;;;;;
07/03/21;8.7;10.8;15:45;6.3;06:00;9.6;0;1.8;1.3;8.6;00:20;321;;;;;;;;;;;;
08/03/21;9.3;13.9;15:05;7.5;05:35;9;0;2.1;3.4;26.3;17:00;292;;;;;;;;;;;;
09/03/21;7.2;11;14:10;3.4;08:05;11.2;0;0;7.3;35.3;16:15;295;;;;;;;;;;;;
10/03/21;7.4;13;16:05;0.3;07:40;10.9;0;0;2;13.3;01:20;316;;;;;;;;;;;;
11/03/21;12.8;18.5;14:05;9;07:50;5.5;0;0;4;37.4;19:30;318;;;;;;;;;;;;
12/03/21;9.8;13.6;15:05;6.7;00:00;8.6;0;0.3;10.2;43.9;15:15;274;;;;;;;;;;;;
13/03/21;9.6;14.7;14:15;4.9;04:35;8.7;0;0;12.2;50.8;20:20;264;;;;;;;;;;;;
14/03/21;7.7;10.5;16:40;5.1;08:05;10.6;0;4.4;11.2;46.4;15:15;295;;;;;;;;;;;;
15/03/21;7.5;10.5;15:50;5.4;03:35;10.8;0;1.5;15.9;46.4;14:40;280;;;;;;;;;;;;
16/03/21;9.2;12;15:35;7;07:45;9.1;0;0;11.8;39.6;01:15;296;;;;;;;;;;;;
17/03/21;8.6;10.3;13:30;6.1;00:00;9.8;0;2.3;13.9;57.2;10:05;300;;;;;;;;;;;;
18/03/21;5.3;8;11:50;2.2;07:45;13;0;0;7.2;28.8;16:30;321;;;;;;;;;;;;
19/03/21;3.9;7.6;16:50;2.4;21:00;14.4;0;3.9;5.3;31;05:10;280;;;;;;;;;;;;
20/03/21;4.6;10.2;14:10;-0.4;07:00;13.7;0;0;5.5;39.6;17:35;299;;;;;;;;;;;;
21/03/21;6.1;11.6;14:45;1.2;07:35;12.3;0;0;11.1;50.8;17:35;297;;;;;;;;;;;;
22/03/21;7.8;12.2;16:25;3.9;06:50;10.5;0;0;10.7;37.4;20:55;300;;;;;;;;;;;;
23/03/21;9.2;14.9;14:15;3;06:35;9.2;0;0;2.5;19.8;04:55;313;;;;;;;;;;;;
